economic_score,fail_count,fid,boost_distance,final distance,before speed,after speed,threat-type,boost_flag,STAI
1.7621,0,567.5173,141.0,351.0041,0.1852,0.1852,fast,True,40
1.5916,0,628.28,0.0,644.24,0.02,0.02,slow,False,40
3.4161,0,292.7331,367.28,66.8763,0.191,0.191,fast,True,40
2.0919,0,478.0439,119.92,236.6955,0.2007,0.2007,fast,True,40
1.6246,0,615.52,0.0,631.48,0.02,0.02,slow,False,40
2.012,0,497.0065,113.04,345.685,0.1445,0.1445,medium,True,40
3.8731,0,258.1944,346.32,122.1986,0.1349,0.1349,medium,True,40
3.7851,0,264.1934,150.76,124.1035,0.1375,0.1375,medium,True,40
3.4593,0,289.0737,315.32,52.6878,0.1976,0.1976,fast,True,40
0.0,1,210.4183,306.32,0.0,0.1928,0.1928,fast,True,40
4.2747,0,233.9366,93.4,192.1516,0.0761,0.0761,slow,True,40
2.0648,0,484.3166,161.32,219.2275,0.2155,0.2155,fast,True,40
2.8009,0,357.0233,93.44,218.3065,0.1366,0.1366,medium,True,40
3.6392,0,274.7839,136.6,257.4062,0.0608,0.0608,slow,True,40
3.4922,0,286.3529,85.68,56.3387,0.1936,0.1936,fast,True,40
3.413,0,292.9951,301.56,151.8088,0.1382,0.1382,medium,True,40
4.5083,0,221.814,201.88,211.1266,0.0566,0.0566,slow,True,40
4.2271,0,236.5679,410.68,2.6159,0.1961,0.1961,fast,True,40
3.5834,0,279.0644,86.72,255.0477,0.065,0.065,slow,True,40
2.9022,0,344.5623,177.72,119.0159,0.1908,0.1908,fast,True,40
2.6675,0,374.8893,161.52,141.198,0.1959,0.1959,fast,True,40
3.1477,0,317.697,200.0,84.1566,0.1958,0.1958,fast,True,40
4.5515,0,219.7089,104.8,179.9697,0.0748,0.0748,slow,True,40
0.0,1,149.6877,496.44,0.0,0.173,0.173,fast,True,40
6.1715,0,162.0357,92.08,133.4809,0.0678,0.0678,slow,True,40
3.4298,0,291.5601,163.84,143.0679,0.1427,0.1427,medium,True,40
2.9238,0,342.0169,103.16,197.5313,0.1402,0.1402,medium,True,40
3.0075,0,332.498,143.36,100.7983,0.1947,0.1947,fast,True,40
4.7592,0,210.12,0.0,226.08,0.02,0.02,slow,False,40
3.5259,0,283.6156,125.92,35.9601,0.2047,0.2047,fast,True,40
4.3611,0,229.301,200.8,84.8675,0.1402,0.1402,medium,True,40
0.0,1,171.1007,106.44,0.0,0.1581,0.1581,medium,True,40
4.8525,0,206.0786,388.0,185.1776,0.063,0.063,slow,True,40
4.3584,0,229.44,524.64,227.7801,0.02,0.0634,slow,True,40
2.7941,0,357.8938,148.0,133.4676,0.1901,0.1901,fast,True,40
3.7475,0,266.8412,278.72,236.9762,0.0686,0.0686,slow,True,40
3.2649,0,306.2888,172.16,170.6036,0.1347,0.1347,medium,True,40
3.6035,0,277.5084,160.36,57.3804,0.1875,0.1875,fast,True,40
0.0,1,184.8631,468.32,0.0,0.1989,0.1989,fast,True,40
0.0,1,112.3911,339.0,0.0,0.2107,0.2107,fast,True,40
2.8164,0,355.062,104.92,231.0988,0.1274,0.1274,medium,True,40
2.9823,0,335.3095,330.76,307.1107,0.0676,0.0676,slow,True,40
2.9309,0,341.1893,195.52,213.8052,0.1295,0.1295,medium,True,40
4.1321,0,242.0067,253.8,224.2846,0.061,0.061,slow,True,40
3.8028,0,262.9657,274.36,125.0362,0.1361,0.1361,medium,True,40
4.3986,0,227.3446,103.24,93.2464,0.1337,0.1337,medium,True,40
4.7214,0,211.8,554.96,180.4613,0.02,0.1491,medium,True,40
3.0687,0,325.8748,121.96,66.5163,0.212,0.212,fast,True,40
2.998,0,333.5505,301.6,196.5472,0.1355,0.1355,medium,True,40
2.8247,0,354.0218,293.68,150.3223,0.1772,0.1772,fast,True,40
