economic_score,fail_count,fid,boost_distance,final distance,before speed,after speed,threat-type,boost_flag,STAI
6.8209,0,146.6092,172.48,118.1872,0.0677,0.0677,slow,True,45
0.0,1,218.3279,110.88,0.0,0.1963,0.1963,fast,True,45
4.3612,0,229.2961,159.28,79.992,0.1432,0.1432,medium,True,45
4.6985,0,212.834,177.52,77.9467,0.1342,0.1342,medium,True,45
0.0,1,189.4292,313.4,0.0,0.2037,0.2037,fast,True,45
4.0155,0,249.0351,352.68,105.7165,0.1395,0.1395,medium,True,45
4.4383,0,225.3092,97.96,13.6812,0.1822,0.1822,fast,True,45
4.6843,0,213.48,0.0,229.44,0.02,0.02,slow,False,45
5.127,0,195.0447,317.2,128.1294,0.0918,0.0918,slow,True,45
0.0,1,55.9068,306.28,0.0,0.1459,0.1459,medium,True,45
5.4247,0,184.3435,106.28,173.4374,0.0568,0.0568,slow,True,45
5.9721,0,167.4465,386.08,158.8709,0.0553,0.0553,slow,True,45
6.3169,0,158.3059,120.92,10.0784,0.1426,0.1426,medium,True,45
0.0,1,216.0627,97.64,0.0,0.1999,0.1999,fast,True,45
5.2999,0,188.6827,305.6,16.1507,0.1577,0.1577,medium,True,45
0.0,1,141.9368,125.48,0.0,0.1452,0.1452,medium,True,45
4.5156,0,221.456,315.12,76.6001,0.1404,0.1404,medium,True,45
4.563,0,219.1518,312.24,84.0794,0.1343,0.1343,medium,True,45
0.0,1,187.3783,204.32,0.0,0.1984,0.1984,fast,True,45
5.118,0,195.3882,227.92,44.804,0.144,0.144,medium,True,45
0.0,1,232.0471,126.04,0.0,0.2133,0.2133,fast,True,45
5.7585,0,173.6575,408.64,148.6757,0.0656,0.0656,slow,True,45
3.6012,0,277.6818,379.12,39.5045,0.1987,0.1987,fast,True,45
6.7245,0,148.7106,295.16,129.5444,0.0619,0.0619,slow,True,45
5.4901,0,182.1457,89.68,155.2595,0.0668,0.0668,slow,True,45
5.9016,0,169.4456,270.04,32.0673,0.1358,0.1358,medium,True,45
5.9821,0,167.1649,551.08,31.0138,0.135,0.135,medium,True,45
0.0,1,233.6764,99.04,0.0,0.2003,0.2003,fast,True,45
4.5635,0,219.1324,92.28,68.5548,0.144,0.144,medium,True,45
5.1696,0,193.4372,97.32,53.7385,0.1372,0.1372,medium,True,45
4.7589,0,210.1304,90.48,171.2068,0.0743,0.0743,slow,True,45
5.916,0,169.0342,327.4,121.2938,0.0798,0.0798,slow,True,45
5.6949,0,175.5953,209.24,148.5966,0.0668,0.0668,slow,True,45
5.5346,0,180.6814,361.72,13.2181,0.1546,0.1546,medium,True,45
5.695,0,175.5937,216.92,35.0192,0.1378,0.1378,medium,True,45
6.4549,0,154.92,587.68,79.6238,0.02,0.128,medium,True,45
5.8155,0,171.9549,93.0,12.8584,0.1493,0.1493,medium,True,45
0.0,1,210.1581,209.92,0.0,0.1939,0.1939,fast,True,45
0.0,1,108.9921,469.8,0.0,0.1945,0.1945,fast,True,45
4.2029,0,237.931,377.44,197.2458,0.0754,0.0754,slow,True,45
0.0,1,224.4019,408.88,0.0,0.204,0.204,fast,True,45
4.756,0,210.2628,114.36,188.983,0.0633,0.0633,slow,True,45
5.3858,0,185.6744,183.84,180.3578,0.0533,0.0533,slow,True,45
5.7978,0,172.48,0.0,188.44,0.02,0.02,slow,False,45
5.4694,0,182.8359,88.48,164.2707,0.0616,0.0616,slow,True,45
5.7776,0,173.0808,286.72,141.3676,0.0698,0.0698,slow,True,45
0.0,1,141.1554,200.8,0.0,0.1896,0.1896,fast,True,45
4.5126,0,221.6032,311.08,51.6914,0.1561,0.1561,medium,True,45
5.1889,0,192.7173,161.84,53.9163,0.1367,0.1367,medium,True,45
0.0,1,209.1164,142.4,0.0,0.19,0.19,fast,True,45
