economic_score,fail_count,fid,boost_distance,final distance,before speed,after speed,threat-type,boost_flag,STAI
4.0278,0,248.2759,283.36,33.1966,0.1843,0.1843,fast,True,40
12.0273,0,83.1439,88.92,58.7348,0.0652,0.0652,slow,True,40
0.0,1,119.4863,575.8,0.0,0.1507,0.1507,medium,True,40
5.7922,0,172.6474,100.84,54.9519,0.1235,0.1235,medium,True,40
3.7844,0,264.2435,249.32,47.8266,0.1851,0.1851,fast,True,40
6.9367,0,144.16,632.04,140.4738,0.02,0.1395,medium,True,40
6.37,0,156.9861,208.64,129.8778,0.0669,0.0669,slow,True,40
0.0,1,204.5372,85.36,0.0,0.2058,0.2058,fast,True,40
8.8218,0,113.3561,146.76,100.2158,0.0582,0.0582,slow,True,40
0.0,1,206.2882,347.72,0.0,0.1836,0.1836,fast,True,40
0.0,1,159.0567,93.48,0.0,0.1658,0.1658,slow,True,40
3.846,0,260.0087,207.84,36.7073,0.1894,0.1894,fast,True,40
3.8087,0,262.5573,410.16,20.4312,0.2012,0.2012,fast,True,40
3.8061,0,262.7368,100.44,23.2323,0.1996,0.1996,fast,True,40
4.2641,0,234.5162,237.56,7.5356,0.1917,0.1917,fast,True,40
0.0,1,191.5623,247.8,0.0,0.1949,0.1949,fast,True,40
5.1387,0,194.6,0.0,210.56,0.02,0.02,slow,False,40
5.8327,0,171.4457,468.96,142.8094,0.0679,0.0679,slow,True,40
6.1395,0,162.88,0.0,178.84,0.02,0.02,slow,False,40
5.4754,0,182.6367,98.12,48.6944,0.1336,0.1336,medium,True,40
0.0,1,141.9165,135.36,0.0,0.1794,0.1794,fast,True,40
4.212,0,237.4143,224.84,28.4431,0.1805,0.1805,fast,True,40
4.4037,0,227.08,0.0,243.04,0.02,0.02,slow,False,40
0.0,1,161.8513,520.4,0.0,0.1815,0.1815,fast,True,40
4.1347,0,241.8535,154.72,10.11,0.1947,0.1947,fast,True,40
5.2636,0,189.9831,335.48,170.4772,0.0622,0.0622,slow,True,40
0.0,1,203.8177,127.36,0.0,0.1994,0.1994,fast,True,40
4.4708,0,223.6739,123.56,7.4959,0.185,0.185,fast,True,40
4.6809,0,213.6328,226.72,193.741,0.0624,0.0624,slow,True,40
0.0,1,206.9659,144.2,0.0,0.1864,0.1864,fast,True,40
6.3704,0,156.9766,470.72,154.7407,0.0514,0.0514,slow,True,40
5.5297,0,180.8425,497.08,34.0204,0.1417,0.1417,medium,True,40
5.7358,0,174.3439,125.2,161.2258,0.0582,0.0582,slow,True,40
0.0,1,163.5008,517.48,0.0,0.2144,0.2144,fast,True,40
4.8218,0,207.3928,179.24,61.527,0.1411,0.1411,medium,True,40
8.5857,0,116.4731,242.2,94.5016,0.0637,0.0637,slow,True,40
5.3998,0,185.1936,330.96,162.4037,0.0642,0.0642,slow,True,40
4.7957,0,208.52,0.0,224.48,0.02,0.02,slow,False,40
5.381,0,185.84,0.0,201.8,0.02,0.02,slow,False,40
6.3194,0,158.2428,142.8,146.9097,0.057,0.057,slow,True,40
0.0,1,228.3244,381.16,0.0,0.1984,0.1984,fast,True,40
5.0168,0,199.3311,169.16,47.1671,0.145,0.145,medium,True,40
7.2989,0,137.0066,151.88,112.1589,0.0655,0.0655,slow,True,40
0.0,1,203.9387,201.32,0.0,0.1786,0.1786,fast,True,40
0.0,1,156.0829,175.36,0.0,0.1819,0.1819,fast,True,40
4.7665,0,209.797,139.76,47.7238,0.1512,0.1512,medium,True,40
4.0347,0,247.8509,229.88,99.6903,0.1425,0.1425,medium,True,40
4.6395,0,215.5417,149.12,70.5035,0.1406,0.1406,medium,True,40
6.405,0,156.1271,111.96,109.484,0.0791,0.0791,slow,True,40
6.1624,0,162.2743,369.68,17.4339,0.1404,0.1404,medium,True,40
